,beer_style,abv,num_ratings,beer_style_group,prepped_words,month_added,year_added,Dominant_Topic,Topic_Perc_Contrib
432,IPA - Rye,5.5,573,IPA,"['acre', 'rye', 'india', 'full', 'flavoured', 'plenty', 'grapefruit', 'citrus', 'bitterness', 'nice', 'spicy', 'bite', 'malted', 'rye']",12,2016,4.0,0.2083
433,IPA - Sour,7.7,747,IPA,"['ddh', 'mosaic', 'blended', 'dragonfruit', 'peach', 'banana', 'aged', 'vanilla', 'bean']",4,2020,1.0,0.1921
434,Smoked Beer,4.8,682,Other,"['dark', 'chestnut', 'colour', 'intense', 'smoked', 'palate', 'balanced', 'spicy']",9,2013,4.0,0.2299
435,Pale Ale - American,5.5,2338,Pale Ale,"['truly', 'harmonious', 'relationship', 'citra', 'oak', 'perfect', 'balance', 'vanilla', 'grapefruit', 'lime']",4,2018,1.0,0.1921
436,Cider - Traditional,6.0,187,Cider,"['single', 'variety', 'cider', 'apple', 'dabinett', 'full', 'bittersweet', 'apple', 'found', 'large', 'quantity', 'throughout', 'many', 'welsh', 'orchard', 'apple', 'produce', 'wellbalanced', 'bittersweet', 'cider', 'soft', 'astringency', 'full', 'body']",4,2011,3.0,0.233
437,Lambic - Kriek,6.2,7401,Lambic,"['oud', 'beersel', 'kriek', 'belgium', 'golden', 'sour', 'winner', 'gold', 'medal', 'great', 'festival', 'transatlantique', 'kriek', 'begin', 'life', 'oaken', 'vessel', 'gert', 'christiaens', 'oud', 'beersel', 'yearold', 'lambic', 'zenne', 'valley', 'belgium', 'home', 'authentic', 'lambic', 'time', 'spent', 'aging', 'wood', 'oud', 'beersel', 'lambic', 'blended', 'tart', 'polish', 'cherry', 'shipped', 'across', 'atlantic', 'belgium', 'concert', 'oud', 'beersel', 'cherry', 'lambic', 'kriek', 'equal', 'portion', 'golden', 'sour', 'matured', 'oak', 'vessel', 'called', 'foeders', 'sour', 'golden', 'blended', 'traditional', 'cherry', 'lambic', 'lead', 'intense', 'cherry', 'nose', 'sour', 'flash', 'across', 'palate', 'refreshing', 'mouthwatering']",5,2018,3.0,0.4607
438,Pale Ale - Australian,6.0,601,Pale Ale,"['dank', 'naturally', 'hazy', 'strong', 'overtone', 'red', 'berry', 'melon', 'tropical', 'fruit', 'pinot', 'gris', 'well', 'balanced', 'slight', 'sweetness', 'small', 'touch', 'bitterness']",2,2019,4.0,0.2369
439,Porter - Other,6.5,200,Porter,"['spiced', 'rum', 'porter', 'stunt', 'series', 'specially', 'sydney', 'craft', 'week', 'holey', 'porter', 'robust', 'porter', 'something', 'extra', 'inspired', 'currency', 'south', 'wale', 'aged', 'oak', 'soaked', 'spiced', 'rum', 'nod', 'sydney', 'multicultural', 'nature', 'threw', 'spice', 'kettle', 'end', 'boil', 'well', 'handful', 'flavoursome', 'chilli', 'dan', 'backyard', 'give', 'subtle', 'spicey', 'let', 'warm', 'little', 'order', 'let', 'layer', 'luscious', 'dark', 'australian', 'complex', 'spice', 'open']",11,2014,6.0,0.2312
440,Kellerbier / Zwickelbier,2.8,315,Other,"['micro', 'series', 'exploration', 'development', 'exceptionally', 'flavourful', 'deceptively', 'low', 'abvs', 'take', 'tradition', 'kellerbier', 'rich', 'munich', 'base', 'full', 'bodied', 'naturally', 'hazy']",3,2019,4.0,0.1961
441,IPA - International,6.5,555,IPA,['zealand'],10,2016,1.0,0.183
442,Stout - Coffee,4.8,310,Stout,"['aged', 'dubliner', 'whiskey', 'barrel']",10,2018,3.0,0.2099
443,Stout - Coffee,8.9,2325,Stout,"['batch', 'double', 'shot', 'feature', 'distinctive', 'coffee', 'torres', 'family', 'costa', 'rica', 'side', 'side', 'hair', 'bender', 'find', 'torres', 'family', 'significantly', 'intense', 'dark', 'baker', 'chocolate', 'cacao', 'nib', 'sweet', 'butter', 'cooky', 'dark', 'roasted', 'espresso', 'bean', 'fluffy', 'mouthfeel', 'heft', 'making', 'super', 'enjoyable', 'sip', 'allowed', 'warm', 'glass', 'coffee', 'lover', 'true', 'delight', 'invite', 'enjoy', 'hearty', 'meal']",10,2019,6.0,0.3558
444,Red Ale - Irish,4.2,513,Red Ale,"['giant', 'red', 'pack', 'celestial', 'punch', 'delivering', 'copper', 'glow', 'glass']",1,2016,4.0,0.1921
445,Brown Ale - English,5.0,431,Brown Ale,"['dark', 'term', 'used', 'london', 'late', 'termed', 'include', 'sweet', 'low', 'alcohol', 'malty', 'hoppy', 'usually', 'drier', 'english', 'counterpart', 'slight', 'citrus', 'accent', 'bitterness', 'medium', 'body', 'due', 'variety', 'range', 'deep', 'amber', 'colour', 'caramel', 'chocolate', 'evident', 'due', 'roasted']",8,2011,4.0,0.3045
446,Sour - Berliner Weisse,4.5,202,Sour,"['collab', 'legend', 'wexford', 'yellow', 'belly', 'peach', 'blueberry', 'kettle', 'sour', 'fruity', 'sherbet', 'subtle', 'apple', 'pie', 'refreshingly', 'tart', 'fruity', 'aftertaste']",10,2016,3.0,0.1961
447,Hefeweizen,6.0,992,Other,"['deciding', 'crew', 'revolution', 'happen', 'particularly', 'fond', 'hawaiian', 'party', 'teamed', 'bring', 'combination', 'favorite', 'party', 'form', 'sabro', 'citra', 'mosaic', 'hopfenweisse', 'plethora', 'citrus', 'tropical', 'fruit', 'coconut', 'heavy', 'dry', 'hopping', 'compliment', 'hefeweizen', 'yeast', 'big', 'banana', 'silky', 'body', 'wheat', 'pils', 'vienna', 'munich', 'glide', 'bet', 'never', 'thought', 'limbo', 'lederhosen', 'seems', 'like', 'good', 'time', 'stretch']",1,2020,2.0,0.2293
448,Brown Ale - Imperial / Double,11.0,323,Brown Ale,"['hazelnut', 'double', 'aged', 'bourbon', 'barrel', 'hazelnut', 'chocolate', 'caramel', 'natural', 'added']",9,2017,6.0,0.2111
449,Belgian Strong Golden Ale,10.0,337,Belgian,"['belgian', 'golden', 'strong', 'aged', 'apple', 'brandy', 'barrel']",5,2015,3.0,0.2164
450,Belgian Tripel,17.1,789,Belgian,"['dan', 'took', 'tripel', 'base', 'hand', 'squeezed', 'yuzu', 'lemon', 'stuck', 'cold', 'coldest', 'day', 'december', 'would', 'partially', 'freeze', 'frozen', 'would', 'discard', 'frozen', 'part', 'keeping', 'alcohol', 'painstaking', 'process', 'done', 'daily', 'week', 'lighter', 'body', 'come', 'use', 'belgian', 'candy', 'sugar', 'sucrose', 'lightens', 'body', 'also', 'complex', 'alcoholic', 'tripels', 'actually', 'notoriously', 'alcoholic', 'yet', 'best', 'crafted', 'hide', 'quite', 'evillike', 'deceivingly', 'making', 'sipping']",6,2018,5.0,0.2043
451,IPA - Red,5.8,229,IPA,"['notoriously', 'difficult', 'make', 'properly', 'particularly', 'getting', 'colour', 'right', 'nailed', 'look', 'dictionary', 'definition', 'pleased', 'find', 'picture', 'holding', 'sixpack', 'cracking', 'good', 'presence']",9,2019,2.0,0.2424
452,IPA - Sour,6.8,1335,IPA,"['sour', 'raspberry', 'lactose', 'almond', 'vanilla', 'collaboration', 'verdant']",9,2018,6.0,0.1988
453,Sour - Fruited Berliner Weisse,7.6,405,Sour,"['birthday', 'turned', 'figured', 'appropriate', 'celebrate', 'taking', 'cornerstone', 'knocking', 'notch', 'bam', 'took', 'raspberry', 'berliner', 'weisse', 'fka', 'sourpuss', 'turned', 'double', 'double', 'fruit', 'double', 'booze']",9,2020,2.0,0.2603
454,Wheat Beer - Other,6.0,227,Wheat Beer,"['wheat', 'real', 'roasted', 'peanut', 'strawberry', 'puree', 'taste', 'like', 'childhood', 'sandwich', 'contains', 'peanut']",10,2018,6.0,0.2111
455,Pilsner - Imperial / Double,8.0,4235,Pilsner,"['celebration', 'twenty', 'victory', 'fitting', 'offer', 'truly', 'embodies', 'european', 'transition', 'ingenuity', 'bold', 'pilsner', 'complete', 'fragrant', 'noble', 'delivers', 'rich', 'earthiness', 'light', 'citrus', 'creating', 'deliciously', 'drinkable', 'raise', 'glass', 'taste', 'victory']",7,2015,5.0,0.2368
456,IPA - Session / India Session Ale,4.5,1076,IPA,"['produced', 'celebrate', 'anniversary', 'royal', 'air', 'force', 'p', 'sale', 'pint', 'donated', 'raf', 'benevolent', 'fund', 'raf', 'leading', 'welfare', 'charity']",4,2018,2.0,0.2576
457,English Mild Ale,4.3,295,Other,"['packed', 'gunwale', 'roasted', 'coffee', 'chocolate', 'delicately', 'hopped', 'impy', 'dark', 'mild', 'mild', 'festival', 'leicester', 'bf', 'brampton', 'finally', 'succumbed', 'takeover', 'warwick', 'richardson', 'newark', 'purchased', 'brampton', 'estate', 'pub', 'promptly', 'closed', 'throughout', 'estate', 'brampton', 'uproar', 'disappearance', 'muchloved', 'brampton', 'mild', 'furore', 'warwick', 'took', 'unprecedented', 'step', 'launching', 'brand', 'aimed', 'marketed', 'specifically', 'quench', 'particular', 'thirst', 'launched', 'impy', 'unashamedly', 'marketed', 'brampton', 'mild', 'recipe', 'without', 'brampton', 'water', 'use', 'without', 'brampton', 'yeast', 'use', 'get', 'hold', 'brampton', 'mild', 'recipe', 'yeast', 'long', 'gone', 'using', 'brampton', 'water', 'therefore', 'mark', 'respect', 'much', 'loved', 'fondly', 'remembered', 'brampton', 'mild', 'interpretation', 'bear', 'impy', 'name']",8,2012,5.0,0.3226
458,Stout - Milk / Sweet,6.5,198,Stout,"['complex', 'rich', 'featuring', 'oat', 'roasted', 'lactose', 'like', 'milk', 'cream', 'still', 'coffee', 'strong', 'dark', 'may', 'spark', 'dairy', 'revolution', 'kangaroo', 'point', 'trust', 'possibility']",1,2019,6.0,0.2369
459,Pale Ale - American,5.5,1456,Pale Ale,"['ight', 'bright', 'sea', 'edge', 'balanced', 'easy', 'drinking', 'dry', 'hopped', 'simcoe', 'cascade', 'fermentation', 'bringing', 'zesty', 'pink', 'grapefruit', 'slightly', 'piney', 'touch', 'citra', 'cold', 'side', 'bringing', 'alive', 'lime', 'zest', 'even', 'bright', 'zesty']",8,2019,1.0,0.2692
460,Stout - Milk / Sweet,7.3,583,Stout,"['pecan', 'salted', 'caramel', 'ice', 'cream', 'friend', 'dig', 'co', 'using', 'toasted', 'pecan', 'nut', 'sea', 'salt', 'achill', 'island']",1,2019,6.0,0.2535
461,Stout - English,5.5,282,Stout,"['tribal', 'warrior', 'queen', 'hard', 'work', 'requires', 'dark', 'mistress', 'boudica', 'exception', 'tapping', 'primal', 'make', 'head', 'roll', 'roasted', 'barley', 'touch', 'sweet', 'remarkable', 'sovereign', 'truly', 'living', 'namesake']",5,2018,2.0,0.2557
462,Lager - Dark,4.8,197,Lager,"['dark', 'packed', 'full', 'blackberry', 'pickin', 'goodness', 'addition', 'blackberry', 'directly', 'fermenter', 'sweet', 'berry', 'roasted', 'create', 'dry', 'chocolate', 'caramel', 'rounded', 'crispness', 'woah', 'blackberry', 'bambalam']",6,2019,4.0,0.1975
463,Wheat Beer - Witbier,6.2,223,Wheat Beer,"['belgium', 'zealand', 'country', 'nothing', 'common', 'literally', 'pole', 'apart', 'old', 'world', 'v', 'world', 'flat', 'land', 'high', 'volcanic', 'mountain', 'chocolate', 'waffle', 'v', 'cow', 'sheep', 'capital', 'eu', 'antipodean', 'wilderness', 'mannekin', 'pi', 'v', 'hobbit', 'sometimes', 'opposite', 'attract', 'especially', 'complex', 'belgianstyle', 'wit', 'using', 'aromatic', 'zealand', 'instead', 'using', 'adjunct', 'carefully', 'selected', 'take', 'place', 'southern', 'cross', 'lemon', 'pacific', 'jade', 'impart', 'black', 'pepper', 'wit', 'almost', 'exactly', 'oxymoron', 'apology', 'many', 'scott']",4,2015,2.0,0.2417
464,IPA - Belgian,5.0,2522,IPA,"['hazy', 'appearance', 'explosion', 'tropical', 'citrus', 'giving', 'creamy', 'mouthfeel', 'low', 'bitterness']",11,2017,1.0,0.2333
465,Pale Ale - Milkshake,5.7,1680,Pale Ale,"['mint', 'choc', 'ice', 'cream', 'saved', 'trip', 'ice', 'cream', 'van', 'adding', 'freshly', 'picked', 'mint', 'leaf', 'cacao', 'sweet', 'cooling', 'ice', 'cream', 'nt', 'put', 'flake', 'sink', 'collaboration', 'brewdog', 'york', 'collabfest']",10,2018,6.0,0.2814
466,Red Ale - Other,4.7,178,Red Ale,"['uby', 'red', 'al']",9,2018,2.0,0.1761
467,Wheat Beer - American Pale Wheat,5.0,224,Wheat Beer,"['took', 'wheat', 'base', 'added', 'blueberry', 'puree', 'natural', 'blueberry', 'flavoring', 'present', 'whole', 'blueberry', 'triple', 'dose', 'blueberry', 'punch']",8,2020,1.0,0.2118
468,Smoked Beer,5.5,1021,Other,"['ich', 'oatmeal', 'dark', 'deep', 'complex', 'subtle', 'smokey', 'aftertaste', 'beechsmoked', 'bottleconditioned', 'suitable', 'vegetarian', 'vegan']",10,2016,4.0,0.231
469,Sour - Other,5.5,1298,Sour,"['introducing', 'disparate', 'element', 'range', 'sour', 'showcasing', 'blending', 'potential', 'overwork', 'cellar', 'utilising', 'rogue', 'barrel', 'left', 'behind', 'various', 'blank', 'canvas', 'create', 'unique', 'sour', 'taking', 'select', 'rioja', 'vinsanto', 'barrel', 'delicate', 'tannic', 'base', 'refermented', 'hibiscus', 'lime', 'zest', 'floral', 'citrus', 'amazing', 'scarlet', 'hue', 'fermentation', 'keep', 'delicate', 'funky', 'complex', 'bone', 'dry']",8,2019,3.0,0.2754
470,Farmhouse Ale - Bière de Garde,8.6,323,Farmhouse Ale,"['packaged', 'ever', 'released', 'march', 'beautiful', 'barrel', 'belgian', 'yeast', 'time', 'piloncillo', 'sugar', 'aged', 'french', 'oak', 'barrel', 'anise', 'sugar', 'tannic', 'mouthfeel', 'rewarding', 'alcohol', 'heat', 'bottled', 'commemorate', 'lion', 'bridge', 'nd', 'anniversary']",3,2016,3.0,0.2675
471,Lager - American Amber / Red,5.0,372,Lager,"['willamette', 'southern', 'cross', 'caramalt', 'crystal', 'roast', 'barley', 'redcoloured', 'excites', 'taste', 'bud', 'tropical', 'fruit', 'complex', 'maltyness', 'right', 'bobby', 'dazzler']",6,2013,1.0,0.2056
472,IPA - Session / India Session Ale,3.8,2068,IPA,"['formerly', 'known', 'little', 'bangin', 'daragh', 'session', 'clock', 'making', 'perfect', 'easy', 'drinking', 'beautiful', 'golden', 'hue', 'white', 'foamy', 'head', 'intensely', 'fruity', 'tangerine', 'watermelon', 'pineapple', 'coming', 'nicely', 'five', 'different', 'variety', 'used', 'added', 'bucket', 'el', 'dorado', 'simcoe', 'cascade', 'mosaic', 'amarillo', 'taste', 'candy', 'sweetness', 'delicious', 'malty', 'bread', 'smooth', 'thanks', 'inclusion', 'wheat', 'regular']",2,2017,1.0,0.2284
473,Mead - Cyser,12.5,585,Mead,"['crisp', 'taste', 'cider', 'sweet', 'mead', 'better', 'way', 'experience', 'best', 'world', 'upon', 'back', 'enchanted', 'horse', 'award', 'winner', 'serf', 'ideal', 'michigan', 'honeycrisp', 'apple', 'cider', 'local', 'wildflower', 'honey', 'create', 'cyser', 'intent', 'satisfying', 'discerning', 'taste', 'sit', 'back', 'relax', 'invigorate', 'sens', 'perfect', 'combination', 'nectar', 'fruit']",12,2014,3.0,0.2222
474,IPA - Imperial / Double,7.5,962,IPA,"['batch', 'hazy', 'constantly', 'look', 'evolve', 'refine', 'product', 'release', 'utilised', 'power', 'chit', 'see', 'behaves', 'brewdeck', 'fermentation', 'ultimately', 'holding', 'right', 'combined', 'oat', 'experience', 'come', 'thick', 'smooth', 'haze', 'enriched', 'tropical', 'including', 'mango', 'passionfruit', 'perfect', 'winter', 'warmer']",5,2020,1.0,0.2335
475,IPA - Black / Cascadian Dark Ale,7.3,604,IPA,"['hopocalypse', 'dawning', 'bitter', 'black', 'beast', 'set', 'loose', 'world', 'juiciness', 'become', 'black', 'sunshine', 'using', 'nelson', 'sauvin', 'citra', 'mosaic', 'created', 'lemony', 'heavy', 'gooseberry', 'hitter', 'bitter', 'cacao', 'follow']",11,2016,1.0,0.2405
476,Sour - Flanders Oud Bruin,6.0,1879,Sour,"['missouri', 'sour', 'cofermented', 'crabapple', 'angry', 'orchard', 'innovation', 'cider', 'walden', 'york', 'great', 'long', 'time', 'friend', 'ryan', 'burk', 'head', 'cidermaker', 'angry', 'orchard', 'racking', 'french', 'oak', 'puncheons', 'age', 'bottled', 'naturally', 'conditioned']",2,2018,3.0,0.3618
477,IPA - American,7.1,12915,IPA,"['big', 'bangin', 'modern', 'take', 'west', 'coast', 'using', 'floor', 'malted', 'mari', 'otter', 'barley', 'give', 'unique', 'light', 'body', 'hopped', 'hell', 'tropical', 'aromatic', 'variety', 'like', 'mosaic', 'simcoe', 'keeping', 'simple', 'clean', 'big', 'bangin']",8,2015,5.0,0.2471
478,Stout - Milk / Sweet,5.0,1211,Stout,"['winter', 'seasonal', 'tribute', 'sweet', 'mischievous', 'dog', 'lactose', 'sugar', 'extra', 'kick', 'sweetness']",6,2015,6.0,0.2113
479,Cider - Sweet,6.8,174,Cider,"['cider', 'subtle', 'oak', 'sweetened', 'sugar', 'black', 'bart', 'well', 'cider', 'barn', 'date', 'stone', 'attributed', 'sir', 'watkins', 'williams', 'wynne', 'bart', 'apple', 'variety', 'black', 'bart', 'kingston', 'black', 'vintage', 'cider', 'apple', 'cider', 'part', 'matured', 'barrel', 'spotted', 'black', 'bart', 'aka', 'bartholomew', 'robert', 'book', 'pirate', 'spent', 'great', 'deal', 'early', 'plundering', 'shipping', 'around', 'barbados', 'cider', 'called', 'black', 'bart', 'customer', 'wanted', 'sweeter', 'cider', 'black', 'bart', 'satisfies', 'requirement', 'without', 'sickly', 'sweet', 'show', 'festival', 'black', 'bart', 'usually', 'barrel', 'empty', 'winner', 'royal', 'bath', 'west', 'show', 'winner', 'three', 'county', 'show']",5,2013,2.0,0.2882
480,Hefeweizen Light / Leicht,3.8,7232,Other,"['hazy', 'wheat', 'pronounced', 'herbal', 'clove', 'citrus', 'banana', 'conceived', 'perfect', 'match', 'classic', 'roast', 'chicken', 'wu', 'gang', 'also', 'go', 'nicely', 'spicy', 'food', 'low', 'alcohol', 'plenty', 'perfect', 'thirstquencher', 'summer', 'day']",1,2013,5.0,0.2874
481,Sour - Berliner Weisse,3.2,198,Sour,"['mon', 'sherbet', 'berliner', 'almost', 'lemon', 'enolike', 'good', 'way', 'slight', 'herbal', 'fruity', 'lemon', 'fizz', 'carry', 'palate', 'zippy', 'yet', 'moderate', 'lactic', 'acidity', 'similar', 'level', 'carbonation']",1,2019,4.0,0.2175
482,Brown Ale - Other,6.2,5789,Brown Ale,"['soft', 'serve', 'chocolate', 'ice', 'cream', 'kg', 'metiisto', 'coca', 'nib', 'vanilla', 'bean', 'lactose', 'sugar', 'served', 'frozen', 'head', 'collab', 'soul', 'mate', 'buxton']",1,2016,6.0,0.273
483,IPA - Imperial / Double Milkshake,7.8,1480,IPA,"['large', 'percentage', 'oat', 'splash', 'milk', 'sugar', 'extra', 'creaminess', 'smoothness', 'big', 'tropical', 'nose', 'front', 'palate', 'interesting', 'tropical', 'stone', 'fruit', 'pulp', 'pith']",11,2020,1.0,0.2429
484,Stout - White,6.0,690,Stout,"['distinctly', 'golden', 'color', 'big', 'pilsen', 'touch', 'white', 'chocolate', 'background', 'nitro']",9,2018,5.0,0.1963
485,Lager - Japanese Rice,5.1,227,Lager,"['collaboration', 'chick', 'n', 'bring', 'sumo', 'japanese', 'rice', 'jasmin', 'rice', 'sumo', 'orange', 'refreshing', 'citrus', 'crisp', 'dry', 'perfect', 'washing', 'delicious', 'wing', 'coming', 'chick', 'n']",7,2019,5.0,0.254
486,Red Ale - American Amber / Red,4.1,620,Red Ale,"['body', 'irish', 'european', 'amber', 'hopped', 'dry', 'hopped', 'four', 'different', 'zealand', 'variety', 'result', 'satisfying', 'sessionable', 'amber', 'bursting', 'southern', 'hemisphere', 'big', 'tone', 'combination', 'including', 'vienna', 'amber', 'crystal', 'give', 'toasty', 'biscuit', 'balanced', 'zesty', 'evergreen', 'oil', 'zesty', 'refreshingly', 'bitter', 'long', 'lasting']",6,2014,4.0,0.3268
487,IPA - Sour,8.0,2325,IPA,"['sour', 'dipa', 'raw', 'wheat', 'malted', 'oat', 'milk', 'sugar', 'black', 'currant', 'lemon', 'purée', 'rooibos', 'tea', 'simcoe', 'azacca']",1,2019,1.0,0.2088
488,Wheat Beer - Other,6.8,190,Wheat Beer,"['spicy', 'malty', 'wheat', 'bock', 'celebrate', 'opening', 'tasting', 'room', 'rich', 'complexity', 'layered', 'spicy', 'ester', 'bavarian', 'yeast', 'strain', 'velvety']",5,2019,5.0,0.2504
489,Mead - Cyser,6.0,2153,Mead,"['half', 'hard', 'cider', 'half', 'mead', 'feature', 'honey', 'maple', 'syrup', 'cinnamon', 'delicious', 'apple']",5,2013,3.0,0.2276
490,Golden Ale,4.5,2423,Other,"['crisp', 'refreshing', 'golden', 'hoppy', 'crystal', 'clear', 'gold', 'sweet', 'aroman', 'lemon', 'apricot', 'refreshingly', 'crisp', 'zesty', 'sweet', 'lemon', 'mandarin', 'apricot', 'palate', 'balanced', 'juicy', 'background', 'columbus', 'amarillo', 'cascade', 'styrian', 'golding', 'mari', 'otter', 'malted', 'wheat']",4,2015,4.0,0.2291
491,Lager - Pale,6.4,484,Lager,"['happens', 'right', 'hell', 'indian', 'summer', 'indian', 'summer', 'unfiltered', 'hopped', 'columbus', 'cascade', 'chinook', 'citra', 'simcoe', 'want', 'big', 'bold', 'combined', 'wonderful', 'clean', 'simplicity', 'great', 'tank', 'mostly', 'cold', 'conditioning', 'give', 'clean', 'depth', 'dryhopped', 'unfiltered', 'tasting', 'incredible', 'hazy', 'blonde', 'full', 'creamy', 'foam', 'wonderful', 'fresh', 'fruitiness', 'load', 'citrus', 'tropical', 'fruit', 'clean', 'vibrant', 'loaded', 'bold', 'lingering', 'bitterness', 'isl', 'launched', 'august', 'limited', 'release', 'pilsner', 'munich', 'carapils', 'zeus', 'cascade', 'chinook', 'citra', 'simco']",1,2013,1.0,0.2677
492,Stout - Other,11.5,171,Stout,"['cacao', 'nib', 'vanilla', 'coffee', 'sugar', 'lacto']",1,2017,6.0,0.2381
493,Fruit Beer,9.0,1883,Other,"['pberry', 'mango', 'triple', 'tootsicl']",8,2019,1.0,0.1914
494,Pilsner - German,4.6,15519,Pilsner,"['mary', 'edward', 'mother', 'greatgrandmother', 'germanstyle', 'pilsner', 'well', 'water', 'pilsner', 'favorite', 'classic', 'yeast']",11,2013,5.0,0.2514
495,Sour - Berliner Weisse,5.0,843,Sour,"['dry', 'hopped', 'double', 'berliner']",12,2014,1.0,0.2099
496,IPA - New England,6.0,310,IPA,"['ddh', 'mosaic', 'citr']",10,2019,1.0,0.2138
497,IPA - Belgian,8.0,1003,IPA,"['gyle', 'belgian', 'farmhouse', 'dry', 'hopped', 'enigma', 'centennial', 'loral', 'comet', 'ekuanot']",2,2018,1.0,0.2722
498,Golden Ale,4.5,1265,Other,"['refreshing', 'golden', 'tropical', 'fruit', 'honey', 'citrus', 'specially', 'support', 'research', 'conservation', 'endangered', 'tiger', 'quoll']",4,2013,1.0,0.2187
499,Extra Special / Strong Bitter,5.6,151,Other,"['forward', 'still', 'carrying', 'good', 'load', 'willamette', 'second', 'batch', 'barleywine']",10,2016,3.0,0.1813
500,Lager - American Light,5.2,185,Lager,"['soft', 'clean', 'dry', 'subtle', 'lime', 'moteuka', 'allday', 'patio', 'session', 'easy', 'drinking', 'ready', 'summer', 'heat', 'mowing', 'lawn', 'mexican', 'boat', 'mexican', 'looking', 'beerflavored', 'mexican', 'dig', 'amigo']",5,2019,5.0,0.2633
501,Lager - IPL (India Pale Lager),5.2,9752,Lager,"['seasonal', 'rocker', 'liquid', 'contradiction', 'become', 'cold', 'fermented', 'hopped', 'hybrid', 'toast', 'citrus', 'spice', 'nose', 'followed', 'rich', 'biscuit', 'gooseberry', 'lychee', 'an', 'subtle', 'lemongrass', 'sitting', 'crisp', 'clean', 'base', 'line', 'citrus', 'peppery', 'shine', 'slightly', 'pithy', 'taste', 'building', 'bitter', 'crescendo', 'dry', 'crisp', 'long', 'rocker', 'let', 'good', 'time', 'roll']",1,2019,4.0,0.196
502,Farmhouse Ale - Other,6.0,373,Farmhouse Ale,"['foeder', 'farmhouse', 'aged', 'nectarine', 'farmhouse', 'help', 'lower', 'acidity', 'making', 'nectarine', 'forward', 'without', 'extra', 'acid', 'drink', 'like', 'natural', 'white', 'wine']",2,2019,3.0,0.2492
503,Porter - Baltic,7.0,286,Porter,"['intense', 'roast', 'toffeelike', 'porter', 'smooth', 'malty', 'body', 'intense', 'soft', 'velvet', 'variety', 'herkul']",10,2018,4.0,0.2384
504,Brown Ale - English,4.5,1138,Brown Ale,"['never', 'imagined', 'english', 'would', 'win', 'many', 'heart', 'classic', 'caramel', 'chocolate', 'nut', 'coffee', 'balanced', 'australian', 'creating', 'rich', 'reddishbrown', 'coloured', 'love', 'pint', 'glass', 'amber', 'chocolate', 'crystal', 'crystal', 'dark', 'willamett']",12,2013,4.0,0.2553
505,IPA - Belgian,7.8,285,IPA,"['permutation', 'experimental', 'series', 'small', 'batch', 'offering', 'showcasing', 'unique', 'vision', 'innovative', 'concept', 'developed', 'cellar', 'crew', 'batch', 'thomson', 'place', 'team', 'developed', 'rustic', 'bill', 'featuring', 'wheat', 'middling', 'mighty', 'mill', 'lynn', 'middling', 'highly', 'nutritious', 'protein', 'rich', 'nonflour', 'product', 'wheat', 'milling', 'process', 'used', 'cereal', 'pasta', 'alike', 'primary', 'fermentation', 'team', 'sought', 'explore', 'effect', 'pitching', 'unique', 'strain', 'classic', 'belgian', 'yeast', 'yeast', 'generously', 'dry', 'hopped', 'citra', 'galaxy', 'final', 'product', 'delivers', 'citrus', 'intensive', 'orange', 'peel', 'juiced', 'lime', 'alongside', 'touch', 'bubblegum', 'bursting', 'tropical', 'overripe', 'mango', 'sweet', 'pineapple', 'upfront', 'permutation', 'mild', 'profile', 'grapefruit', 'rind', 'blooming', 'pine', 'providing', 'balancing', 'bitterness', 'pillowy', 'mouthfeel', 'medium', 'body', 'permutation', 'dry', 'subtly', 'spicy']",5,2019,1.0,0.2544
506,Mead - Pyment,13.0,230,Mead,"['pecially', 'curated', 'aged', 'oak', 'barrel', 'previously', 'held', 'white', 'series', 'aphrodisia', 'pulling', 'ml', 'sample', 'barrel', 'invited', 'friend', 'industry', 'member', 'staff', 'blending', 'event', 'divided', 'team', 'group', 'developed', 'favorite', 'blind', 'tasting', 'voted', 'determine', 'best', 'think', 'like', 'came']",11,2018,2.0,0.2542
507,California Common,5.1,188,Other,"['fermented', 'bit', 'warmer', 'aged', 'cold', 'bit', 'longer', 'result', 'smooth', 'noticeable', 'addition', 'late', 'boil', 'focus', 'le', 'bitterness']",4,2016,4.0,0.2189
508,Farmhouse Ale - Bière de Garde,7.8,362,Farmhouse Ale,"['fermented', 'blackberry', 'oak', 'barrel', 'brettanomyces', 'wild', 'yeastbacteria', 'native', 'coastal', 'virginia']",2,2015,3.0,0.2889
509,Kombucha,7.0,1414,Other,"['crisp', 'freshly', 'pressed', 'mixed', 'apple', 'variety', 'lime', 'juice', 'elegant', 'floral', 'aromatics', 'jasmine', 'green', 'tea', 'unify', 'producing', 'refreshing', 'cideresque', 'bubbly', 'soft']",11,2016,5.0,0.2413
510,Stout - Oyster,7.5,3306,Stout,"['man', 'long', 'boat', 'dive', 'sea', 'salt', 'inspired', 'oyster', 'taken', 'deep', 'dark', 'decadent', 'keelhauled', 'canny', 'sea', 'salt', 'bringing', 'brininess', 'motley', 'crew', 'bold', 'dark', 'chocolate', 'fruity', 'coffee', 'burning', 'pirate', 'ship', 'leading', 'inky', 'abyss', 'bitter', 'roastiness', 'salt', 'enhances', 'sweetness', 'depth', 'beguiling']",10,2018,4.0,0.2618
