beer_style,abv,num_ratings,beer_style_group,month_added,year_added,Dominant_Topic,Topic_Perc_Contrib
Scottish Ale,9.6,1919,Other,7,2017,3.0,0.2365
Cider - Traditional,4.0,3078,Cider,1,2012,2.0,0.1949
Lager - Euro Pale,5.0,2945,Lager,1,2013,5.0,0.2153
IPA - Imperial / Double Milkshake,8.0,1733,IPA,1,2019,1.0,0.2778
IPA - Imperial / Double New England,9.0,1161,IPA,10,2019,1.0,0.2493
Scotch Ale / Wee Heavy,11.4,1348,Other,11,2015,3.0,0.3553
IPA - English,5.3,252,IPA,12,2013,2.0,0.2821
Red Ale - Irish,4.0,330,Red Ale,12,2013,6.0,0.2161
Grätzer / Grodziskie,4.4,216,Other,1,2017,5.0,0.265
IPA - American,7.0,983,IPA,4,2020,1.0,0.331
Cider - Herbed / Spiced / Hopped,4.0,442,Cider,12,2015,5.0,0.2063
Stout - Imperial / Double Coffee,12.7,6320,Stout,10,2015,6.0,0.2842
Sour - Fruited,8.1,159,Sour,4,2020,2.0,0.2624
Dunkelweizen,8.8,205,Other,3,2019,3.0,0.2429
Smoked Beer,3.9,551,Other,5,2018,6.0,0.2284
Brown Ale - American,5.7,1438,Brown Ale,6,2014,4.0,0.235
Sour - Fruited Gose,3.5,1883,Sour,4,2017,2.0,0.2037
IPA - American,7.2,10100,IPA,1,2017,1.0,0.3579
Sour - Fruited,5.8,11503,Sour,5,2019,3.0,0.2605
Dark Ale,17.4,2991,Other,4,2016,2.0,0.3972
Stout - Pastry,12.0,1110,Stout,10,2020,6.0,0.3267
Sour - Fruited Berliner Weisse,7.0,326,Sour,6,2020,3.0,0.224
IPA - International,5.8,1079,IPA,2,2020,1.0,0.3215
IPA - International,5.9,3662,IPA,3,2020,4.0,0.2618
IPA - Black / Cascadian Dark Ale,6.7,448,IPA,3,2017,1.0,0.2527
IPA - Triple,10.5,1310,IPA,1,2020,1.0,0.2834
Scottish Ale,9.0,391,Other,8,2015,3.0,0.1845
Pilsner - Other,4.8,11987,Pilsner,4,2014,5.0,0.2973
Lager - American Light,4.6,231,Lager,3,2020,5.0,0.2275
Stout - Milk / Sweet,4.4,3741,Stout,12,2014,6.0,0.2601
Sour - Gose,4.5,641,Sour,5,2018,2.0,0.2617
Farmhouse Ale - Sahti,6.8,589,Farmhouse Ale,12,2017,3.0,0.2205
Cider - Sweet,5.0,248,Cider,11,2017,3.0,0.3414
Porter - Coffee,6.4,804,Porter,11,2015,2.0,0.2061
Belgian Quadrupel,10.5,1900,Belgian,4,2016,3.0,0.262
Rye Beer,12.0,960,Other,9,2013,3.0,0.2361
Rye Wine,16.4,209,Other,8,2019,3.0,0.2912
Extra Special / Strong Bitter,5.0,2445,Other,7,2011,4.0,0.2884
Rye Beer,5.3,2400,Other,4,2014,5.0,0.1979
Schwarzbier,4.5,423,Other,2,2019,6.0,0.2146
Stout - Imperial / Double,13.0,1776,Stout,7,2018,6.0,0.3094
Stout - Other,9.0,2025,Stout,1,2020,6.0,0.2563
Kellerbier / Zwickelbier,6.3,175,Other,2,2017,5.0,0.226
Fruit Beer,6.5,663,Other,12,2019,5.0,0.1845
Hard Seltzer,4.2,827,Other,12,2017,4.0,0.2131
Brown Ale - Other,5.8,184,Brown Ale,11,2018,6.0,0.2061
Lambic - Kriek,7.0,923,Lambic,11,2018,3.0,0.3529
Spiced / Herbed Beer,5.0,175,Other,10,2019,2.0,0.2133
IPA - Milkshake,7.0,2997,IPA,8,2020,1.0,0.4012
Shandy / Radler,4.1,593,Other,12,2018,1.0,0.1761
Golden Ale,4.5,231,Other,12,2019,1.0,0.2203
Stout - Pastry,8.5,272,Stout,5,2020,6.0,0.267
IPA - White,6.5,400,IPA,5,2020,1.0,0.2587
IPA - New England,7.2,3201,IPA,6,2018,1.0,0.3558
English Mild Ale,5.1,166,Other,9,2013,4.0,0.2496
Belgian Dubbel,6.5,594,Belgian,2,2016,3.0,0.226
Fruit Beer,6.66,961,Other,9,2018,3.0,0.2381
Wheat Beer - American Pale Wheat,4.2,181,Wheat Beer,8,2017,5.0,0.2205
Stout - Imperial / Double Milk,10.0,820,Stout,1,2019,3.0,0.242
Wheat Beer - Other,5.0,214,Wheat Beer,3,2019,1.0,0.2991
Spiced / Herbed Beer,11.0,218,Other,7,2018,6.0,0.306
Pilsner - German,4.8,192,Pilsner,3,2020,5.0,0.2388
Lager - Dortmunder / Export,5.5,183,Lager,11,2019,5.0,0.1876
Lager - Amber,5.6,161,Lager,9,2019,5.0,0.1808
IPA - Brut,6.0,1288,IPA,11,2018,1.0,0.2656
Pilsner - German,4.2,392,Pilsner,7,2018,5.0,0.2352
Lager - Dark,5.3,377,Lager,2,2020,2.0,0.206
Smoked Beer,6.0,294,Other,7,2017,6.0,0.1944
IPA - Black / Cascadian Dark Ale,6.5,420,IPA,8,2020,6.0,0.2056
Sour - Fruited Gose,5.0,246,Sour,6,2018,4.0,0.2299
Blonde Ale,4.9,2223,Other,9,2011,5.0,0.1934
Strong Ale - English,5.6,170,Strong Ale,12,2015,3.0,0.2452
IPA - Rye,6.0,829,IPA,12,2018,2.0,0.2915
Pale Ale - American,4.0,197,Pale Ale,5,2020,1.0,0.2736
Porter - Other,5.2,4462,Porter,1,2011,6.0,0.3624
Belgian Tripel,8.2,3003,Belgian,4,2017,6.0,0.2139
Wheat Beer - Other,5.0,180,Wheat Beer,1,2017,6.0,0.287
Kvass,3.4,2635,Other,12,2016,3.0,0.2034
Sour - Flanders Red Ale,6.5,500,Sour,1,2017,3.0,0.3974
Spiced / Herbed Beer,7.0,911,Other,9,2019,6.0,0.2339
Fruit Beer,5.0,211,Other,12,2015,5.0,0.1989
Porter - Imperial / Double Coffee,9.9,781,Porter,11,2019,3.0,0.2873
Gluten-Free,3.8,456,Other,4,2020,2.0,0.2708
Pale Ale - New England,5.9,647,Pale Ale,5,2018,1.0,0.2434
Sour - Fruited Gose,4.0,480,Sour,1,2020,1.0,0.1988
IPA - Session / India Session Ale,4.8,456,IPA,12,2015,4.0,0.241
Stout - Imperial / Double Pastry,13.5,1157,Stout,7,2020,1.0,0.2301
Farmhouse Ale - Bière de Garde,7.6,1901,Farmhouse Ale,1,2016,3.0,0.2284
Pilsner - German,4.7,14945,Pilsner,2,2014,2.0,0.2269
IPA - American,6.8,607,IPA,12,2019,1.0,0.195
Mead - Cyser,6.9,888,Mead,12,2018,3.0,0.1782
Stout - Imperial / Double Pastry,10.0,1652,Stout,12,2019,2.0,0.3365
Red Ale - Imperial / Double,10.2,2024,Red Ale,10,2016,3.0,0.2643
IPA - American,6.6,3307,IPA,10,2016,1.0,0.2138
Pale Ale - New Zealand,5.5,644,Pale Ale,9,2012,1.0,0.2813
Old Ale,6.0,192,Other,2,2017,5.0,0.1789
Brown Ale - Other,6.4,1028,Brown Ale,6,2018,6.0,0.2222
Pumpkin / Yam Beer,7.3,335,Other,10,2011,5.0,0.2222
Kellerbier / Zwickelbier,7.6,244,Other,11,2019,1.0,0.2299
Porter - English,6.9,507,Porter,5,2012,6.0,0.2598
IPA - Session / India Session Ale,4.5,5418,IPA,7,2016,1.0,0.3236
Lager - Japanese Rice,7.0,280,Lager,11,2020,1.0,0.1914
IPA - Imperial / Double,9.5,2135,IPA,3,2019,2.0,0.2074
Bock - Single / Traditional,6.7,1231,Bock,5,2015,6.0,0.2202
Red Ale - Other,4.2,948,Red Ale,1,2016,4.0,0.2958
Pale Ale - New England,5.7,445,Pale Ale,6,2020,2.0,0.2356
IPA - American,7.0,22648,IPA,1,2016,1.0,0.2826
Red Ale - Imperial / Double,13.87,378,Red Ale,3,2019,2.0,0.2031
Belgian Tripel,10.0,1837,Belgian,4,2015,2.0,0.2479
Pale Ale - Australian,5.0,159,Pale Ale,12,2017,1.0,0.269
English Mild Ale,4.6,230,Other,9,2014,5.0,0.2652
Gluten-Free,5.3,561,Other,1,2017,1.0,0.1922
Stout - Imperial / Double Milk,10.0,500,Stout,11,2018,6.0,0.3099
Farmhouse Ale - Bière de Garde,7.0,246,Farmhouse Ale,10,2015,3.0,0.2249
Cider - Perry,6.9,845,Cider,12,2012,3.0,0.2982
Stout - Milk / Sweet,6.6,998,Stout,1,2018,4.0,0.2074
Bock - Doppelbock,7.8,375,Bock,11,2016,5.0,0.2183
Hefeweizen,5.0,324,Other,9,2014,5.0,0.2352
Stout - English,5.3,1475,Stout,5,2011,4.0,0.2074
IPA - English,5.5,690,IPA,9,2016,2.0,0.3142
Cider - Herbed / Spiced / Hopped,4.5,293,Cider,12,2017,5.0,0.241
Barleywine - English,10.0,752,Barleywine,5,2015,3.0,0.2164
Sour - Flanders Red Ale,5.5,341,Sour,2,2020,4.0,0.2164
Pale Ale - New Zealand,5.1,356,Pale Ale,6,2016,1.0,0.1914
IPA - Red,6.9,1088,IPA,7,2019,6.0,0.2072
Pale Ale - Australian,5.2,478,Pale Ale,6,2018,1.0,0.205
Blonde Ale,3.6,7297,Other,3,2014,1.0,0.227
Stout - Milk / Sweet,6.4,1941,Stout,7,2018,6.0,0.2952
Gruit / Ancient Herbed Ale,4.0,575,Other,9,2018,3.0,0.1914
Cider - Herbed / Spiced / Hopped,4.0,253,Cider,7,2012,5.0,0.277
Traditional Ale,4.9,205,Other,8,2018,4.0,0.2593
Pale Ale - New England,5.75,1700,Pale Ale,4,2019,1.0,0.1761
Belgian Tripel,8.6,253,Belgian,10,2017,5.0,0.1879
Old Ale,14.4,2132,Other,12,2015,3.0,0.3063
Smoked Beer,5.5,646,Other,1,2017,6.0,0.2399
Stout - Other,7.0,195,Stout,1,2015,6.0,0.2133
Lager - Vienna,4.8,3258,Lager,8,2019,5.0,0.2846
IPA - Red,7.0,289,IPA,4,2016,4.0,0.2372
Belgian Tripel,8.5,540,Belgian,12,2016,3.0,0.2099
Lager - Red,5.0,208,Lager,11,2017,2.0,0.237
IPA - American,5.2,391092,IPA,8,2010,1.0,0.3216
Belgian Dubbel,7.0,151,Belgian,6,2015,2.0,0.1728
Cider - Perry,4.5,29234,Cider,11,2010,5.0,0.2394
Porter - Other,5.6,3361,Porter,7,2014,6.0,0.2645
Gruit / Ancient Herbed Ale,10.0,24313,Other,3,2013,3.0,0.2188
Dark Ale,5.0,409,Other,4,2016,3.0,0.1765
Porter - Coffee,7.3,382,Porter,6,2019,6.0,0.3539
Cider - Herbed / Spiced / Hopped,12.0,216,Cider,5,2016,5.0,0.2141
Smoked Beer,5.9,49852,Other,10,2010,6.0,0.332
Extra Special / Strong Bitter,5.2,348,Other,10,2016,4.0,0.2744
Red Ale - American Amber / Red,4.7,639,Red Ale,2,2015,4.0,0.2826
Stout - Pastry,7.2,767,Stout,8,2019,6.0,0.2284
IPA - Rye,7.9,421,IPA,9,2018,1.0,0.1845
Pale Ale - American,4.5,201,Pale Ale,8,2020,1.0,0.2222
Brown Ale - English,4.8,1516,Brown Ale,6,2016,6.0,0.283
Lager - Winter,5.6,527,Lager,10,2019,4.0,0.2078
IPA - English,5.0,225,IPA,7,2016,2.0,0.2004
Ginger Beer,4.1,580,Other,8,2017,5.0,0.2538
Cider - Perry,5.2,150,Cider,7,2014,3.0,0.2284
IPA - Belgian,8.2,2468,IPA,6,2017,5.0,0.2167
IPA - Milkshake,6.0,3029,IPA,6,2017,1.0,0.2683
Märzen,6.1,463,Other,8,2018,6.0,0.1914
Belgian Blonde,6.0,238,Belgian,6,2015,1.0,0.228
Dark Ale,9.0,5139,Other,2,2016,3.0,0.2512
IPA - Milkshake,5.6,501,IPA,3,2019,4.0,0.272
Pale Ale - International,7.0,386,Pale Ale,2,2018,2.0,0.1846
Lager - American Amber / Red,5.1,358,Lager,7,2015,5.0,0.2153
Lambic - Fruit,7.5,672,Lambic,4,2019,3.0,0.2713
Stout - Oyster,4.2,163,Stout,9,2013,2.0,0.1914
Stout - Foreign / Export,6.6,1350,Stout,3,2018,6.0,0.2284
Red Ale - American Amber / Red,5.0,119956,Red Ale,10,2010,1.0,0.2656
Scotch Ale / Wee Heavy,7.2,20189,Other,8,2010,6.0,0.2086
Pale Ale - English,5.0,617,Pale Ale,2,2018,2.0,0.216
Lager - Vienna,5.0,354,Lager,3,2020,5.0,0.2768
Rye Wine,12.7,2041,Other,11,2013,3.0,0.2532
English Mild Ale,4.6,264,Other,4,2018,6.0,0.204
Stout - Imperial / Double Pastry,12.8,421,Stout,5,2020,6.0,0.2995
Stout - American,6.5,151,Stout,7,2017,6.0,0.2013
Stout - Oatmeal,5.0,445,Stout,12,2016,6.0,0.1973
Porter - Other,6.3,306,Porter,8,2019,4.0,0.1925
Stout - Imperial / Double Pastry,8.5,1429,Stout,6,2020,1.0,0.2116
Pale Ale - Australian,5.2,245,Pale Ale,3,2018,4.0,0.2778
Red Ale - Other,6.0,4468,Red Ale,7,2013,1.0,0.2126
IPA - English,8.0,253,IPA,3,2018,4.0,0.1852
Pilsner - German,4.0,379,Pilsner,1,2013,5.0,0.2667
Stout - Coffee,13.8,718,Stout,8,2017,6.0,0.2164
IPA - Session / India Session Ale,5.5,440,IPA,2,2020,1.0,0.2515
IPA - Brut,6.7,1112,IPA,3,2018,1.0,0.3053
Pale Ale - English,6.8,288,Pale Ale,1,2019,6.0,0.2471
Golden Ale,4.6,175,Other,3,2017,2.0,0.2117
IPA - Imperial / Double,9.2,260,IPA,7,2012,2.0,0.3469
Dark Ale,6.6,165,Other,9,2016,2.0,0.2163
IPA - Session / India Session Ale,5.0,685,IPA,1,2019,1.0,0.2448
Stout - Imperial / Double Coffee,11.5,3318,Stout,10,2017,6.0,0.2082
IPA - New England,8.0,234,IPA,8,2020,2.0,0.2937
Stout - Pastry,8.0,518,Stout,5,2020,6.0,0.3466
Pilsner - Other,4.5,181,Pilsner,6,2018,5.0,0.2419
IPA - International,6.2,320,IPA,6,2020,1.0,0.1795
Porter - Imperial / Double,9.0,2357,Porter,2,2019,6.0,0.3208
Table Beer,5.0,326,Other,10,2017,3.0,0.2424
IPA - International,6.5,1689,IPA,1,2017,1.0,0.3867
IPA - White,7.0,654,IPA,1,2014,5.0,0.2298
Belgian Quadrupel,11.5,164,Belgian,11,2018,3.0,0.1954
Brown Ale - English,5.1,2095,Brown Ale,2,2013,2.0,0.2512
Cider - Traditional,4.0,444,Cider,10,2015,4.0,0.3194
Spiced / Herbed Beer,7.0,2260,Other,2,2018,2.0,0.2846
Stout - Imperial / Double Pastry,10.0,916,Stout,6,2019,2.0,0.2601
IPA - Imperial / Double New England,8.0,2313,IPA,8,2019,1.0,0.2363
Scotch Ale / Wee Heavy,14.0,759,Other,9,2013,3.0,0.2687
Pale Ale - English,4.0,284,Pale Ale,5,2014,1.0,0.1751
Stout - English,5.0,200,Stout,11,2018,6.0,0.2441
California Common,3.8,281,Other,5,2017,2.0,0.1795
Pilsner - Imperial / Double,7.0,983,Pilsner,1,2012,2.0,0.3311
Brown Ale - English,4.3,328,Brown Ale,3,2011,4.0,0.2288
Farmhouse Ale - Saison,8.3,222,Farmhouse Ale,4,2018,3.0,0.2842
IPA - American,6.7,366,IPA,10,2020,1.0,0.2696
Stout - American,16.0,478,Stout,2,2017,4.0,0.1833
Pale Ale - American,7.8,1431,Pale Ale,10,2015,1.0,0.2548
Mead - Metheglin,13.5,874,Mead,1,2017,5.0,0.2562
Gluten-Free,5.7,1390,Other,10,2018,6.0,0.2411
Pale Ale - New England,8.5,214,Pale Ale,1,2017,1.0,0.2727
IPA - International,6.5,1265,IPA,5,2017,1.0,0.2399
Porter - Baltic,6.2,579,Porter,12,2017,6.0,0.2889
Red Ale - Imperial / Double,8.5,3771,Red Ale,5,2013,1.0,0.2263
Shandy / Radler,4.5,3353,Other,9,2019,1.0,0.1956
English Mild Ale,4.0,174,Other,4,2019,5.0,0.2099
Brown Ale - English,4.7,772,Brown Ale,7,2018,6.0,0.2811
IPA - Brut,7.0,805,IPA,1,2019,2.0,0.2344
IPA - Imperial / Double,10.5,6696,IPA,1,2019,1.0,0.2424
IPA - Rye,6.3,188,IPA,7,2020,1.0,0.3462
Porter - Imperial / Double Baltic,10.0,265,Porter,4,2020,6.0,0.2989
Cider - Perry,5.5,347,Cider,3,2019,5.0,0.2307
Sour - Fruited Gose,4.5,188,Sour,1,2018,3.0,0.2048
Extra Special / Strong Bitter,5.4,3536,Other,11,2011,4.0,0.2946
IPA - White,6.0,908,IPA,2,2020,1.0,0.1985
Pale Ale - Belgian,4.5,471,Pale Ale,1,2017,5.0,0.2736
Cider - Dry,5.9,166,Cider,8,2018,3.0,0.2352
Sour - Flanders Oud Bruin,6.2,1588,Sour,3,2016,3.0,0.2671
Farmhouse Ale - Other,7.3,818,Farmhouse Ale,5,2011,3.0,0.3099
Porter - Imperial / Double,10.0,1049,Porter,9,2016,3.0,0.257
Belgian Blonde,6.0,229,Belgian,3,2014,2.0,0.231
Dunkelweizen,5.4,222,Other,10,2014,5.0,0.217
Mumme,9.8,664,Other,6,2014,3.0,0.2129
Stout - Imperial / Double,16.8,3325,Stout,2,2019,2.0,0.2861
Barleywine - Other,11.5,2251,Barleywine,3,2018,3.0,0.2242
Extra Special / Strong Bitter,5.8,156,Other,10,2016,4.0,0.2664
Porter - American,12.6,889,Porter,12,2018,6.0,0.2629
Belgian Strong Golden Ale,9.5,664,Belgian,1,2018,4.0,0.1948
Belgian Strong Dark Ale,8.4,3585,Belgian,2,2011,6.0,0.2018
Scottish Export Ale,10.0,452,Other,11,2014,6.0,0.2108
Fruit Beer,6.0,949,Other,12,2015,1.0,0.3108
Cider - Traditional,5.8,412,Cider,10,2015,4.0,0.3205
IPA - Black / Cascadian Dark Ale,5.5,1435,IPA,8,2014,6.0,0.2222
Hefeweizen,5.2,2322,Other,5,2013,5.0,0.2202
Sour - Fruited,7.8,1637,Sour,9,2020,3.0,0.2222
Smoked Beer,6.5,181,Other,4,2015,2.0,0.2971
Shandy / Radler,4.5,221,Other,6,2020,5.0,0.2407
IPA - English,8.1,811,IPA,7,2012,4.0,0.277
Mead - Braggot,11.0,2419,Mead,1,2015,4.0,0.2575
Kristallweizen,5.6,227,Other,5,2018,5.0,0.2448
Porter - Other,5.5,1092,Porter,3,2016,6.0,0.2061
Lambic - Traditional,4.8,739,Lambic,6,2019,3.0,0.2708
Extra Special / Strong Bitter,9.6,901,Other,11,2013,2.0,0.267
Stout - Coffee,6.3,415,Stout,5,2019,6.0,0.3407
Lager - IPL (India Pale Lager),6.2,1169,Lager,1,2017,1.0,0.277
IPA - Milkshake,6.3,215,IPA,6,2019,4.0,0.2509
Lager - IPL (India Pale Lager),7.2,655,Lager,3,2019,1.0,0.2186
Pale Ale - American,6.0,292,Pale Ale,6,2017,1.0,0.183
Barleywine - American,13.0,3179,Barleywine,2,2019,4.0,0.2338
Cider - Other Fruit,6.2,889,Cider,4,2019,3.0,0.25
Porter - Coffee,4.4,174,Porter,5,2019,6.0,0.2339
Hefeweizen,5.4,538,Other,9,2017,5.0,0.2968
Dunkelweizen,6.0,165,Other,11,2017,5.0,0.2656
Stout - Pastry,6.0,338,Stout,10,2018,6.0,0.2306
Old Ale,16.9,2672,Other,1,2019,3.0,0.2537
IPA - Brett,5.5,14011,IPA,1,2019,1.0,0.2783
Hefeweizen,5.5,185,Other,3,2015,2.0,0.2096
Farmhouse Ale - Saison,4.8,187,Farmhouse Ale,9,2019,3.0,0.2429
Pilsner - Other,4.9,386,Pilsner,4,2018,2.0,0.2917
Pale Ale - American,6.5,2959,Pale Ale,11,2015,1.0,0.2929
Porter - Other,5.5,13844,Porter,3,2013,6.0,0.2825
Non-Alcoholic Beer,0.5,177,Other,10,2018,2.0,0.1806
Sour - Fruited,6.5,735,Sour,7,2020,2.0,0.2401
IPA - American,7.2,27538,IPA,12,2015,1.0,0.3159
Brown Ale - Other,4.8,217,Brown Ale,4,2017,6.0,0.209
Stout - Russian Imperial,15.0,1649,Stout,12,2019,6.0,0.2552
Porter - Imperial / Double Baltic,10.0,5579,Porter,2,2014,6.0,0.2853
Gruit / Ancient Herbed Ale,6.0,168,Other,5,2017,1.0,0.1858
IPA - Red,6.8,1577,IPA,10,2014,4.0,0.3846
IPA - Black / Cascadian Dark Ale,7.0,383,IPA,12,2019,2.0,0.2897
Lager - Vienna,5.0,1468,Lager,2,2017,5.0,0.1845
Pale Ale - American,5.7,424,Pale Ale,3,2020,1.0,0.2393
Cream Ale,13.0,232,Other,10,2018,6.0,0.2312
Lager - Amber,5.1,200,Lager,7,2015,2.0,0.2971
Cider - Traditional,7.1,267,Cider,6,2015,3.0,0.2168
Sour - Flanders Oud Bruin,5.9,242,Sour,6,2019,3.0,0.184
Lager - Vienna,5.2,472,Lager,7,2018,4.0,0.2353
Belgian Blonde,7.2,325,Belgian,10,2018,3.0,0.1905
Porter - Imperial / Double,7.4,517,Porter,8,2018,6.0,0.2844
Belgian Strong Dark Ale,9.0,312,Belgian,11,2012,2.0,0.3505
IPA - New England,8.0,1881,IPA,12,2019,2.0,0.2784
Pale Ale - Australian,6.7,375,Pale Ale,1,2016,1.0,0.1761
IPA - White,7.5,229,IPA,10,2016,4.0,0.195
Red Ale - Other,6.4,376,Red Ale,5,2020,5.0,0.1843
Wild Ale - Other,5.0,610,Other,7,2018,3.0,0.2821
Ginger Beer,4.5,608,Other,6,2015,5.0,0.1966
Blonde Ale,4.0,185,Other,4,2017,5.0,0.2239
Lambic - Framboise,7.6,390,Lambic,3,2017,3.0,0.204
Stout - Imperial / Double Oatmeal,13.8,1515,Stout,7,2018,6.0,0.226
Lager - Vienna,6.1,390,Lager,12,2016,6.0,0.1795
Specialty Grain,7.5,227,Other,4,2015,4.0,0.1926
Rauchbier,5.7,180,Other,9,2017,6.0,0.2103
Smoked Beer,7.8,1485,Other,7,2014,6.0,0.2514
Wheat Beer - Other,5.5,197,Wheat Beer,9,2018,3.0,0.1956
Rauchbier,7.0,1013,Other,9,2013,4.0,0.1761
IPA - English,5.9,202,IPA,10,2013,5.0,0.1988
Wild Ale - Other,6.0,2028,Other,1,2017,3.0,0.3194
Lichtenhainer,5.0,751,Other,12,2015,2.0,0.2272
Pale Ale - International,5.8,662,Pale Ale,1,2020,1.0,0.256
Winter Ale,4.4,301,Other,12,2015,4.0,0.2439
Stout - Imperial / Double Coffee,10.0,911,Stout,6,2020,6.0,0.3049
Stout - White,5.5,508,Stout,11,2016,2.0,0.2256
Red Ale - American Amber / Red,4.5,371,Red Ale,12,2013,4.0,0.2037
Belgian Tripel,9.5,210,Belgian,10,2017,3.0,0.2018
IPA - White,5.9,163,IPA,1,2017,6.0,0.2078
Porter - Baltic,8.0,945,Porter,1,2017,5.0,0.2289
Cider - Other Fruit,4.0,374,Cider,9,2016,5.0,0.2609
Sour - Fruited Gose,5.3,3162,Sour,5,2018,1.0,0.2284
Brown Ale - Imperial / Double,11.8,2303,Brown Ale,11,2014,3.0,0.2689
IPA - Milkshake,8.0,1443,IPA,6,2019,1.0,0.1879
IPA - Brut,7.4,191,IPA,8,2018,2.0,0.2066
Extra Special / Strong Bitter,5.1,162,Other,10,2017,5.0,0.2241
IPA - White,5.3,200,IPA,8,2018,2.0,0.2786
IPA - International,6.9,779,IPA,12,2017,1.0,0.3184
Stout - American,4.0,1639,Stout,10,2018,4.0,0.1944
Scottish Ale,12.6,2234,Other,4,2016,3.0,0.2339
Ginger Beer,5.5,187,Other,6,2016,4.0,0.2092
Pale Ale - Belgian,4.4,383,Pale Ale,5,2020,5.0,0.2475
Bock - Doppelbock,9.1,438,Bock,6,2019,3.0,0.2163
Stout - Oatmeal,7.0,6406,Stout,11,2010,3.0,0.2178
Kellerbier / Zwickelbier,4.8,176,Other,5,2013,5.0,0.3294
American Wild Ale,6.0,732,Other,6,2015,3.0,0.2434
Stout - Other,4.1,272,Stout,12,2010,4.0,0.2504
Brown Ale - English,6.0,202,Brown Ale,8,2018,6.0,0.209
IPA - English,6.8,161,IPA,5,2012,2.0,0.28
IPA - Quadruple,12.0,1045,IPA,8,2018,1.0,0.2157
Pale Ale - International,4.8,510,Pale Ale,2,2020,2.0,0.2551
Malt Liquor ,9.7,157,Other,12,2018,1.0,0.195
Porter - Baltic,6.5,2351,Porter,2,2019,6.0,0.3361
Black & Tan,3.9,415,Other,9,2013,4.0,0.213
IPA - Sour,5.1,546,IPA,7,2019,2.0,0.2749
Porter - English,5.0,7766,Porter,11,2013,2.0,0.3836
Red Ale - Imperial / Double,8.2,1504,Red Ale,2,2015,1.0,0.2735
IPA - Imperial / Double,8.2,3396,IPA,10,2013,2.0,0.263
Sour - Berliner Weisse,5.0,216,Sour,4,2019,3.0,0.2842
IPA - Imperial / Double New England,8.5,395,IPA,8,2020,1.0,0.2455
Sour - Other,4.8,216,Sour,10,2016,5.0,0.1954
Lambic - Traditional,5.5,1213,Lambic,1,2015,3.0,0.1966
Pilsner - Imperial / Double,7.5,881,Pilsner,3,2013,1.0,0.2508
Hefeweizen Light / Leicht,4.4,299,Other,5,2017,5.0,0.2163
Stout - Coffee,7.0,756,Stout,11,2019,6.0,0.3043
IPA - Milkshake,6.2,1114,IPA,5,2020,1.0,0.4136
IPA - White,6.7,1813,IPA,1,2017,1.0,0.1845
Wheat Beer - American Pale Wheat,4.7,398,Wheat Beer,6,2011,5.0,0.2222
IPA - Session / India Session Ale,5.0,154,IPA,8,2015,1.0,0.2332
Golden Ale,5.0,1173,Other,5,2018,5.0,0.1866
Bock - Weizenbock,7.4,196,Bock,12,2014,3.0,0.2534
Pilsner - Czech,4.4,1159,Pilsner,7,2016,5.0,0.2061
IPA - Sour,6.0,5959,IPA,5,2017,1.0,0.2222
Lager - IPL (India Pale Lager),7.1,362,Lager,2,2017,1.0,0.2918
Porter - English,7.1,215,Porter,3,2015,6.0,0.2116
Lager - Japanese Rice,4.9,153,Lager,11,2018,4.0,0.1944
Pale Ale - English,5.3,235,Pale Ale,10,2017,4.0,0.1887
Pale Ale - American,5.7,4805,Pale Ale,8,2012,1.0,0.2066
Extra Special / Strong Bitter,4.5,401,Other,3,2014,6.0,0.1954
Sour - Fruited Berliner Weisse,7.0,870,Sour,10,2019,3.0,0.2255
Pilsner - Imperial / Double,9.0,211,Pilsner,4,2017,6.0,0.1931
Pilsner - German,4.1,156,Pilsner,7,2018,5.0,0.2563
Wheat Beer - Witbier,6.5,472,Wheat Beer,10,2019,4.0,0.1858
Grisette,3.5,463,Other,2,2018,5.0,0.2356
Pale Ale - Belgian,4.8,350,Pale Ale,4,2017,5.0,0.2329
Cider - Perry,4.8,1034,Cider,3,2012,2.0,0.2377
Sour - Fruited,7.2,1600,Sour,5,2019,2.0,0.2584
Pilsner - Imperial / Double,9.0,251,Pilsner,7,2015,2.0,0.3333
Brown Ale - Belgian,8.0,227,Brown Ale,10,2019,4.0,0.2131
Stout - Russian Imperial,11.0,2288,Stout,5,2018,3.0,0.2024
Mead - Other,6.0,490,Mead,2,2020,4.0,0.1852
Pale Ale - English,3.7,988,Pale Ale,5,2015,5.0,0.2577
Sour - Other,7.5,1840,Sour,2,2020,3.0,0.2307
Stout - White,7.4,452,Stout,9,2019,6.0,0.2471
Stout - Oatmeal,4.2,362,Stout,7,2017,6.0,0.2264
Porter - Coffee,9.5,1362,Porter,1,2018,6.0,0.2652
IPA - Session / India Session Ale,6.2,173,IPA,6,2018,1.0,0.1964
Sour - Fruited,8.8,755,Sour,6,2020,1.0,0.2463
Cider - Other Fruit,6.7,230,Cider,1,2018,3.0,0.2306
Mead - Melomel,12.5,1534,Mead,9,2018,3.0,0.2321
Stout - Imperial / Double,11.8,2428,Stout,12,2016,4.0,0.2135
Winter Warmer,8.5,1222,Other,11,2017,6.0,0.1879
Lager - Vienna,5.0,1083,Lager,5,2019,5.0,0.2366
Sour - Fruited Berliner Weisse,3.8,1352,Sour,5,2015,5.0,0.1972
Mead - Other,13.0,1288,Mead,7,2019,3.0,0.2241
